Charge equilibration on step 0
  iteration: 0, enegtot 10.7747, enegmax 13.2972, fq deviation: 0.155065
  iteration: 1, enegtot 10.7792, enegmax 10.6441, fq deviation: 0.0970631
  iteration: 2, enegtot 10.786, enegmax 6.81315, fq deviation: 0.0956427
  iteration: 3, enegtot 10.7932, enegmax 2.95538, fq deviation: 0.132355
  iteration: 4, enegtot 10.7997, enegmax 3.16126, fq deviation: 0.137791
  iteration: 5, enegtot 10.805, enegmax 3.82911, fq deviation: 0.123853
  iteration: 6, enegtot 10.8088, enegmax 5.45342, fq deviation: 0.132417
  iteration: 7, enegtot 10.811, enegmax 5.94138, fq deviation: 0.155451
  iteration: 8, enegtot 10.8117, enegmax 5.51395, fq deviation: 0.16915
  iteration: 9, enegtot 10.8113, enegmax 4.77453, fq deviation: 0.165054
  iteration: 10, enegtot 10.8103, enegmax 3.9823, fq deviation: 0.164033
  iteration: 11, enegtot 10.8088, enegmax 3.33418, fq deviation: 0.165291
  iteration: 12, enegtot 10.8072, enegmax 2.4265, fq deviation: 0.163541
  iteration: 13, enegtot 10.8055, enegmax 1.526, fq deviation: 0.157654
  iteration: 14, enegtot 10.8039, enegmax 1.615, fq deviation: 0.15663
  iteration: 15, enegtot 10.8025, enegmax 1.94067, fq deviation: 0.159614
  iteration: 16, enegtot 10.8013, enegmax 2.52225, fq deviation: 0.158709
  iteration: 17, enegtot 10.8005, enegmax 2.83725, fq deviation: 0.153054
  iteration: 18, enegtot 10.8001, enegmax 2.73088, fq deviation: 0.143382
  iteration: 19, enegtot 10.8, enegmax 2.29251, fq deviation: 0.136818
  iteration: 20, enegtot 10.8003, enegmax 1.65415, fq deviation: 0.135684
  iteration: 21, enegtot 10.8007, enegmax 1.0831, fq deviation: 0.132947
  iteration: 22, enegtot 10.8012, enegmax 1.07756, fq deviation: 0.128557
  iteration: 23, enegtot 10.8016, enegmax 0.934183, fq deviation: 0.121739
  iteration: 24, enegtot 10.8019, enegmax 1.04268, fq deviation: 0.115202
  iteration: 25, enegtot 10.802, enegmax 1.12829, fq deviation: 0.110256
