   TIME[S]      V-OUT[V]     I-OUT[A]     V-SET[V]     I-SET[A]
 0000.000000  0000.000000  0000.000000  0010.000000  0000.400000
 0000.011419  0000.000000  0000.047000  0010.000000  0000.400000
 0000.022787  0008.100000  0000.021000  0010.000000  0000.400000
 0000.034580  0009.600000  0000.000000  0010.000000  0000.400000
 0000.045813  0009.800000  0000.000000  0010.000000  0000.400000
 0000.057261  0009.900000  0000.000000  0010.000000  0000.400000
 0000.068899  0009.900000  0000.007000  0010.000000  0000.400000
 0000.080320  0009.900000  0000.000000  0010.000000  0000.400000
 0000.091803  0009.900000  0000.000000  0010.000000  0000.400000
 0000.103353  0009.900000  0000.000000  0010.000000  0000.400000
 0000.115188  0010.000000  0000.000000  0010.000000  0000.400000
 0000.126945  0009.900000  0000.000000  0010.000000  0000.400000
 0000.138635  0009.900000  0000.008000  0010.000000  0000.400000
 0000.150351  0010.000000  0000.000000  0010.000000  0000.400000
 0000.162017  0009.900000  0000.000000  0010.000000  0000.400000
 0000.173685  0009.900000  0000.009000  0010.000000  0000.400000
 0000.185307  0009.900000  0000.006000  0010.000000  0000.400000
 0000.197173  0010.000000  0000.000000  0010.000000  0000.400000
 0000.209118  0009.900000  0000.000000  0010.000000  0000.400000
 0000.220707  0009.900000  0000.009000  0010.000000  0000.400000
 0000.232340  0009.900000  0000.000000  0010.000000  0000.400000
 0000.243888  0009.900000  0000.000000  0010.000000  0000.400000
 0000.255670  0010.000000  0000.000000  0010.000000  0000.400000
 0000.267253  0010.000000  0000.000000  0010.000000  0000.400000
 0000.278815  0010.000000  0000.000000  0010.000000  0000.400000
 0000.290347  0010.000000  0000.000000  0010.000000  0000.400000
 0000.301925  0010.000000  0000.000000  0010.000000  0000.400000
 0000.313552  0009.900000  0000.000000  0010.000000  0000.400000
 0000.325372  0009.900000  0000.000000  0010.000000  0000.400000
 0000.337014  0010.000000  0000.000000  0010.000000  0000.400000
 0000.348697  0010.000000  0000.000000  0010.000000  0000.400000
 0000.360625  0009.900000  0000.000000  0010.000000  0000.400000
 0000.372611  0009.900000  0000.000000  0010.000000  0000.400000
 0000.384262  0010.000000  0000.000000  0010.000000  0000.400000
 0000.396013  0010.000000  0000.000000  0010.000000  0000.400000
 0000.407700  0010.000000  0000.000000  0010.000000  0000.400000
 0000.419372  0009.900000  0000.000000  0010.000000  0000.400000
 0000.431094  0009.900000  0000.000000  0010.000000  0000.400000
 0000.442807  0009.900000  0000.000000  0010.000000  0000.400000
 0000.454399  0010.000000  0000.000000  0010.000000  0000.400000
 0000.466120  0010.000000  0000.009000  0010.000000  0000.400000
 0000.477746  0009.900000  0000.000000  0010.000000  0000.400000
 0000.489587  0009.900000  0000.000000  0010.000000  0000.400000
 0000.501241  0010.000000  0000.000000  0010.000000  0000.400000
 0000.512766  0010.000000  0000.000000  0010.000000  0000.400000
 0000.524644  0009.900000  0000.000000  0010.000000  0000.400000
 0000.536336  0009.900000  0000.000000  0010.000000  0000.400000
 0000.547978  0009.900000  0000.000000  0010.000000  0000.400000
 0000.559694  0010.000000  0000.000000  0010.000000  0000.400000
 0000.571379  0010.000000  0000.000000  0010.000000  0000.400000
 0000.583105  0009.800000  0000.007000  0010.000000  0000.400000
 0000.594720  0009.800000  0000.000000  0010.000000  0000.400000
 0000.606295  0009.900000  0000.000000  0010.000000  0000.400000
 0000.618021  0010.000000  0000.000000  0010.000000  0000.400000
 0000.629805  0010.000000  0000.000000  0010.000000  0000.400000
 0000.641428  0010.000000  0000.000000  0010.000000  0000.400000
 0000.653047  0009.900000  0000.000000  0010.000000  0000.400000
 0000.664658  0010.000000  0000.000000  0010.000000  0000.400000
 0000.676318  0010.000000  0000.000000  0010.000000  0000.400000
 0000.687900  0009.900000  0000.000000  0010.000000  0000.400000
 0000.699674  0009.900000  0000.000000  0010.000000  0000.400000
 0000.711515  0009.900000  0000.000000  0010.000000  0000.400000
 0000.723077  0009.900000  0000.000000  0010.000000  0000.400000
 0000.734558  0009.900000  0000.000000  0010.000000  0000.400000
 0000.746153  0009.900000  0000.000000  0010.000000  0000.400000
 0000.757709  0009.900000  0000.000000  0010.000000  0000.400000
 0000.769430  0009.900000  0000.000000  0010.000000  0000.400000
 0000.781008  0009.900000  0000.000000  0010.000000  0000.400000
 0000.792728  0010.000000  0000.000000  0010.000000  0000.400000
 0000.804565  0010.000000  0000.000000  0010.000000  0000.400000
 0000.816402  0009.900000  0000.000000  0010.000000  0000.400000
 0000.828046  0009.900000  0000.000000  0010.000000  0000.400000
 0000.839672  0009.900000  0000.000000  0010.000000  0000.400000
 0000.851498  0009.900000  0000.000000  0010.000000  0000.400000
 0000.862948  0010.000000  0000.010000  0010.000000  0000.400000
 0000.874780  0009.900000  0000.000000  0010.000000  0000.400000
 0000.886410  0009.900000  0000.011000  0010.000000  0000.400000
 0000.897996  0009.900000  0000.000000  0010.000000  0000.400000
 0000.909760  0009.900000  0000.000000  0010.000000  0000.400000
 0000.921573  0010.000000  0000.000000  0010.000000  0000.400000
 0000.933129  0010.000000  0000.000000  0010.000000  0000.400000
 0000.944609  0009.900000  0000.000000  0010.000000  0000.400000
 0000.956296  0009.900000  0000.000000  0010.000000  0000.400000
 0000.968025  0009.900000  0000.007000  0010.000000  0000.400000
 0000.979674  0009.900000  0000.000000  0010.000000  0000.400000
 0000.991376  0009.900000  0000.000000  0010.000000  0000.400000
 0001.003082  0009.900000  0000.000000  0010.000000  0000.400000
